Player,Season,Tm,SeasonPlayerBorn,MP,EstAdjTOV,TOV.,TOV100,ATRatio,PPR
Terry Driscoll,1974,MIL,1974 Terry Driscoll 1948,697,56.00237223,21.27407216,3.659099948,0.964244868,-2.869780808
Ken Durrett,1974,KCO,1974 Ken Durrett 1949,462,44.22682762,17.64930265,4.330815341,0.429603501,-6.831203669
Joe Ellis,1974,GSW,1974 Joe Ellis 1945,515,41.96363688,17.08591836,3.591527937,0.88171576,-3.358634993
Leroy Ellis,1974,PHI,1974 Leroy Ellis 1941,2831,177.878218,18.0382245,2.784810715,1.062524699,-1.832505051
Keith Erickson,1974,PHO,1974 Keith Erickson 1945,2033,159.1330989,14.72945773,3.428102705,1.288229799,-1.105087667
Hank Finkel,1974,BOS,1974 Hank Finkel 1943,427,35.15271341,19.09718869,3.592357343,0.768077266,-4.017028902
Chris Ford,1974,DET,1974 Chris Ford 1949,2059,139.2446008,18.12786632,3.047990769,2.003668353,2.270781894
Fred Foster,1974,CLE,1974 Fred Foster 1947,649,54.76578709,14.76462112,3.890945473,1.132093654,-2.069715524
Jim Fox,1974,SEA,1974 Jim Fox 1944,2179,184.0085519,18.66347734,3.678243025,1.233638316,-1.499551102
Walt Frazier,1974,NYK,1974 Walt Frazier 1946,3338,271.3872449,14.62793275,3.770543776,2.030309126,2.874358552
Rod Freeman,1974,PHI,1974 Rod Freeman 1951,265,26.17132007,17.77806222,4.377161148,0.534936715,-6.35395726
Bernie Fryer,1974,POR,1974 Bernie Fryer 1950,1674,139.4501358,20.2145551,3.685318158,2.000715155,2.780756524
Dick Garrett,1974,TOT,1974 Dick Garrett 1947,326,25.87603413,16.14869855,3.663182471,0.888853365,-3.233957299
Dick Garrett,1974,NYK,1974 Dick Garrett 1947,239,17.48536522,15.31045865,3.392951835,0.800669578,-3.410892004
Dick Garrett,1974,MIL,1974 Dick Garrett 1947,87,8.390668905,18.2284314,4.392158034,1.072620086,-2.747895293
Rowland Garrett,1974,CHI,1974 Rowland Garrett 1951,373,29.81869745,13.08418951,3.654532051,0.36889606,-6.028247754
Jim Garvin,1974,BUF,1974 Jim Garvin 1951,11,0.601603384,13.07377741,2.352310396,0,-5.46912167
John Gianelli,1974,NYK,1974 John Gianelli 1951,1423,93.91398564,16.15991423,3.060738734,0.819899182,-2.992315693
Dick Gibbs,1974,SEA,1974 Dick Gibbs 1949,1528,119.1475812,13.1279431,3.396421012,0.663043254,-4.350845195
Herm Gilliam,1974,ATL,1974 Herm Gilliam 1947,2003,186.7500887,17.10619794,4.039069671,1.900936179,2.492090761
Gail Goodrich,1974,LAL,1974 Gail Goodrich 1944,3061,350.8943057,14.72728108,4.926075403,1.216890651,-2.163594873
Travis Grant,1974,LAL,1974 Travis Grant 1950,6,0.786013448,12.87277623,5.629460684,0,-13.10022413
Lamar Green,1974,PHO,1974 Lamar Green 1948,1103,68.11538646,16.41194671,2.70458351,0.631281745,-3.576493182
Matt Guokas,1974,TOT,1974 Matt Guokas 1945,1871,100.6110264,19.23688438,2.396301774,2.36554589,3.102920376
Matt Guokas,1974,KCO,1974 Matt Guokas 1945,315,18.02081519,16.95265945,2.588151726,1.997689873,1.898153909
Matt Guokas,1974,HOU,1974 Matt Guokas 1945,1007,51.96894196,19.44298241,2.334749322,2.559220854,3.644262633
Matt Guokas,1974,BUF,1974 Matt Guokas 1945,549,30.62126928,20.49324666,2.398986958,2.253335725,2.801225997
Happy Hairston,1974,LAL,1974 Happy Hairston 1943,2634,245.6176024,20.46101306,4.007114769,0.846844843,-4.060399991
Phil Hankinson,1974,BOS,1974 Phil Hankinson 1952,163,14.58748874,11.83017259,3.905183822,0.274207581,-7.313387773
