"GAME_ID","EVENTNUM","EVENTMSGTYPE","EVENTMSGACTIONTYPE","PERIOD","PCTIMESTRING","HOMEDESCRIPTION","NEUTRALDESCRIPTION","VISITORDESCRIPTION","SCORE","SCOREMARGIN","PERSON1TYPE","PLAYER1_ID","PLAYER1_NAME","PLAYER1_TEAM_ID","PERSON2TYPE","PLAYER2_ID","PLAYER2_NAME","PLAYER2_TEAM_ID","PERSON3TYPE","PLAYER3_ID","PLAYER3_NAME","PLAYER3_TEAM_ID","dist"
29600460,487,2,1,4,"0:00","MISS McCaskill 81' 3PT Jump Shot",NA,NA,NA,NA,4,1043,"Amal McCaskill",1610612753,0,0,NA,NA,0,0,NA,NA,81
29600465,115,2,1,1,"0:00",NA,NA,"MISS Willis 68' 3PT Jump Shot",NA,NA,5,788,"Kevin Willis",1610612745,0,0,NA,NA,0,0,NA,NA,68
29600473,339,2,1,3,"0:00","MISS Jackson 67' 3PT Jump Shot",NA,NA,NA,NA,4,349,"Mark Jackson",1610612743,0,0,NA,NA,0,0,NA,NA,67
29600478,199,2,1,2,"0:00","MISS Hardaway 49' 3PT Jump Shot",NA,NA,NA,NA,4,358,"Anfernee Hardaway",1610612753,0,0,NA,NA,0,0,NA,NA,49
29600480,206,2,1,2,"0:00","MISS Edwards 62' 3PT Jump Shot",NA,NA,NA,NA,4,898,"Blue Edwards",1610612763,0,0,NA,NA,0,0,NA,NA,62
29600497,223,2,1,2,"0:00",NA,NA,"MISS Miller 58' 3PT Jump Shot",NA,NA,5,397,"Reggie Miller",1610612754,0,0,NA,NA,0,0,NA,NA,58
29600506,119,2,1,1,"0:01","MISS Jackson 50' 3PT Jump Shot",NA,NA,NA,NA,4,754,"Jim Jackson",1610612742,0,0,NA,NA,0,0,NA,NA,50
29600512,114,2,1,1,"0:00","MISS Meyer 62' 3PT Jump Shot",NA,NA,NA,NA,4,684,"Loren Meyer",1610612756,0,0,NA,NA,0,0,NA,NA,62
29600513,242,2,1,2,"0:00","MISS Van Exel 50' 3PT Jump Shot",NA,NA,NA,NA,4,89,"Nick Van Exel",1610612747,0,0,NA,NA,0,0,NA,NA,50
29600515,103,2,1,1,"0:00","MISS McKie 81' 3PT Jump Shot",NA,NA,NA,NA,4,243,"Aaron McKie",1610612757,0,0,NA,NA,0,0,NA,NA,81
29600518,97,2,1,1,"0:00","MISS Marbury 85' 3PT Jump Shot",NA,NA,NA,NA,4,950,"Stephon Marbury",1610612750,0,0,NA,NA,0,0,NA,NA,85
29600522,215,2,1,2,"0:00",NA,NA,"MISS Earl 49' 3PT Jump Shot",NA,NA,5,768,"Acie Earl",1610612761,0,0,NA,NA,0,0,NA,NA,49
29600523,105,2,1,1,"0:00",NA,NA,"MISS Mills 47' 3PT Jump Shot",NA,NA,5,371,"Terry Mills",1610612765,0,0,NA,NA,0,0,NA,NA,47
29600525,444,2,1,4,"0:01","MISS James 56' 3PT Jump Shot",NA,NA,NA,NA,4,1080,"Henry James",1610612737,0,0,NA,NA,0,0,NA,NA,56
29600536,228,2,1,2,"0:00",NA,NA,"MISS Williams 68' 3PT Jump Shot",NA,NA,5,1005,"Walt Williams",1610612761,0,0,NA,NA,0,0,NA,NA,68
29600551,235,2,1,2,"0:00","MISS Mayberry 68' 3PT Jump Shot",NA,NA,NA,NA,4,195,"Lee Mayberry",1610612763,0,0,NA,NA,0,0,NA,NA,68
29600592,87,2,1,1,"0:01","MISS Smith 53' 3PT Jump Shot",NA,NA,NA,NA,4,120,"Steven Smith",1610612737,0,0,NA,NA,0,0,NA,NA,53
29600593,295,2,2,3,"0:00",NA,NA,"MISS Smith 54' 3PT Running Jump Shot",NA,NA,5,380,"Tony Smith",1610612766,0,0,NA,NA,0,0,NA,NA,54
29600598,429,2,1,4,"0:00","MISS Elie 65' 3PT Jump Shot",NA,NA,NA,NA,4,53,"Mario Elie",1610612745,0,0,NA,NA,0,0,NA,NA,65
29600601,87,1,1,1,"0:00",NA,NA,"Hardaway 62' 3PT Jump Shot (3 PTS)","21 - 28","7",5,896,"Tim Hardaway",1610612748,0,0,NA,NA,0,0,NA,NA,62
29600605,210,2,1,2,"0:00","MISS Coles 68' 3PT Jump Shot",NA,NA,NA,NA,4,902,"Bimbo Coles",1610612744,0,0,NA,NA,0,0,NA,NA,68
